Insumo   ;Embalagem  ;Descricao  ;Quantidade ;Valor;Preco Medio;Ultimo Preco
167;RL.       ;ATADURA DE CREPE 10CM                                                                     ;57396;26355,55;0,459187;0,9
169;RL.       ;ATADURA DE CREPE 20CM                                                                     ;143;128,7;0,9;0,9
170;RL.       ;ATADURA DE CREPE 30CM                                                                     ;0;0;0;0
172;RL.       ;ATADURA DE CREPE 15CM                                                                     ;892;7064,64;7,92;7,92
178;UM        ;AVENTAL EXCLUIDO - LANCAR NO CODIGO 10486                                                 ;0;0;0;2,08
179;UM        ;AVENTAL DESC.SEM MANGAS,EM TNT.                                                           ;0;0;0;0,77
181;UM        ;AVENTAL EM PLASTICO PROTETOR TAM.UNICO NAO ESTERIL C/MANGA                                ;218;647,46;2,97;2,97
182;UMA       ;AVENTAL DE CHUMBO 0,50MM COM ACABAMENTO EM NYLON LAVAVEL.                                 ;0;0;0;408,32
232;UMA       ;(COLOS)ANEL PROTETOR DE PELE (89602) FLEXIVEL CONVEXO OVALADO HOLLISTER.                  ;230;7790,1;33,87;33,87
233;UMA       ;(COLOS) PLACA PARA BOLSA REF 401612 RECORTAVEL 10-44MM                                    ;0;0;0;0
235;UMA       ;BOLSA PARA AGUA GELADA                                                                    ;0;0;0;24,33
239;UM        ;BOLSA TERMICA PARA AGUA QUENTE.                                                           ;566;11932,93245;21,082919;20,3
273;GL.       ;CAL SODADA EM PILULAS FORMATO LENTICULAR COM GRAU DE UMIDADEDE 14 A 16%                   ;0;0;0;175
291;UMA       ;CANETA PARA ELETROCARDIOGRAMA 3 CANAIS COMP. C/ MARCA DIXTAL                              ;55;1351,9;24,58;24,58
294;UMA       ;CANULA DE GUEDEL N.00                                                                     ;91;178,36;1,96;1,96
295;UMA       ;CANULA DE GUEDEL N.01                                                                     ;143;664,95;4,65;4,65
296;UMA       ;CANULA DE GUEDEL N.02                                                                     ;0;0;0;2,25
297;UMA       ;CANULA DE GUEDEL N.03                                                                     ;0;0;0;2,25
298;UMA       ;CANULA DE GUEDEL N.04                                                                     ;5353;22696,72;4,24;4,24
299;UMA       ;CANULA DE GUEDEL N.05                                                                     ;134;483;3,604477;3,13
300;UMA       ;CANULA DE GUEDEL N.06                                                                     ;37;185;5;5
301;UMA       ;CANULA DE TRAQUEOSTOMIA N.2.5 SEM BALAO                                                   ;0;0;0;12,2
302;UMA       ;CANULA DE TRAQUEOSTOMIA N.3.0 SEM BALAO                                                   ;211;3030,76;14,363791;14,11
303;UMA       ;CANULA DE TRAQUEOSTOMIA N.3.5 SEM BALAO                                                   ;215;3063,2;14,247441;16,66
304;UMA       ;CANULA DE TRAQUEOSTOMIA N.4.0 SEM BALAO                                                   ;0;0;0;16,66
305;UMA       ;CANULA DE TRAQUEOSTOMIA N.4.5 SEM BALAO                                                   ;3;49,98;16,66;16,66
306;UMA       ;CANULA DE TRAQUEOSTOMIA N.5.5 COM BALAO                                                   ;110;1621,4;14,74;14,74
307;UMA       ;CANULA DE TRAQUEOSTOMIA N.5.0 SEM BALAO                                                   ;3;49,98;16,66;16,66
308;UMA       ;CANULA DE TRAQUEOSTOMIA N.6.5 COM BALAO                                                   ;118;1734,48;14,698983;14,64
309;UMA       ;CANULA DE TRAQUEOSTOMIA N.7.0 COM BALAO                                                   ;130;2263,3;17,41;17,41
310;UMA       ;CANULA DE TRAQUEOSTOMIA N.7.5 COM BALAO                                                   ;156;2739,36;17,56;17,56
311;UMA       ;CANULA DE TRAQUEOSTOMIA N.8.0 COM BALAO                                                   ;420;7198,8;17,14;17,14
312;UMA       ;CANULA DE TRAQUEOSTOMIA N.8.5 COM BALAO                                                   ;1130;20249,6;17,92;17,92
313;UMA       ;CANULA DE TRAQUEOSTOMIA N.9.0 COM BALAO                                                   ;330;4844,4;14,68;14,68
314;UMA       ;CANULA DE TRAQUEOSTOMIA N.01 EM ACO INOXIDAVEL                                            ;104;7564,42;72,734807;81,98
315;UMA       ;CANULA DE TRAQUEOSTOMIA N.04 EM ACO INOXIDAVEL                                            ;20;1405,8;70,29;70,29
316;UMA       ;CANULA DE TRAQUEOSTOMIA N.02 EM ACO INOXIDAVEL                                            ;128;7596,5;59,347656;48
317;UMA       ;CANULA DE TRAQUEOSTOMIA N.03 EM ACO INOXIDAVEL                                            ;188;12629,85648;67,180087;80,51
318;UMA       ;CANULA DE TRAQUEOSTOMIA N.05 EM ACO INOXIDAVEL                                            ;46;2756,32;59,92;59,92
319;UMA       ;CANULA DE TRAQUEOSTOMIA N.06 EM ACO INOXIDAVEL                                            ;44;2964,28;67,37;67,37
320;UMA       ;CANULA DE TRAQUEOSTOMIA N.07 EM ACO INOXIDAVEL                                            ;0;0;0;120,4
321;UMA       ;CANULA DE TRAQUEOSTOMIA N.6.0 COM BALAO                                                   ;320;4684,8;14,64;14,64
