Insumo   ;Embalagem  ;Descricao  ;Quantidade ;Valor;Preco Medio;Ultimo Preco
6065;ENV.      ;LAMINA DE BISTURI DESCARTAVEL N.20                                                        ;27200;26332;0,968088;0,39
6066;ENV.      ;FIO DE SUTURA PROLENE N.2 AG 1/2 CIR. 22MM 70CM                                           ;0;0;0;0
6067;ENV.      ;FIO DE SUTURA DE ACO N.1 4X45CM 1/2CIRC. AG 36,4MM TRIANGULAR                             ;0;0;0;0
6069;ENV.      ;FIO DE SUTURA DE POLIGLACTINA N.2 70CM FIO AG.1/2CIRC.CIL.2.6CM                           ;0;0;0;378
6072;ENV.      ;FIO POLIGLICOLICO N.2-0 AG.4,0CM 1/2 CIRCULAR,COMP.70CM.                                  ;0;0;0;0
6073;ENV.      ;CLIP HEMOSTATICO DE TITANIO ( AZUL )                                                      ;0;0;0;129,16
6074;ENV.      ;"SONDA ESOFAGICA N.21 ""SENGSTAKEN-BLACKMORE""                                               ";235;105729,5;449,912765;439,45
6075;UM        ;(ESPEC)CONJUNTO DE VALVULA P/ HIDROCEFALIA ADULTO PRESSAO MEDIA                           ;0;0;0;613,65
6076;UM        ;PROTESE URETRAL ( SLING )                                                                 ;0;0;0;0
6079;UM        ;AVENTAL DESC.MANGA CURTA,EM TNT.                                                          ;0;0;0;0
6081;UM        ;AGULHA DE BIOPSIA P/ASPIRACAO 14G X 16CM.                                                 ;0;0;0;0
6085;UM        ;COBRE CORPO TAM.1.00X50                                                                   ;19;509,2;26,8;26,8
6086;UM        ;COBRE CORPO TAM.2.10X80                                                                   ;0;0;0;0,000001
6087;UM        ;COBRE CORPO TAM.2.00X90(APROX.)                                                           ;0;0;0;13,92
6088;UM        ;(NEURO)KIT BIOPSIA E ASPIRACAO MEDULA OSSEA 24200                                         ;40;60000;1500;1500
6089;UM        ;MALHA TUBULAR ORTOPEDICA 20CM X 10M.                                                      ;0;0;0;11,53
6090;UM        ;LAMINA DE BISTURI N.15 COM CABO DE SEGURANCA                                              ;0;0;0;2,21
6091;UM        ;DETERGENTE ENZIMATICO 5000 ML                                                             ;2;189,8;94,9;94,9
6092;UM        ;CATETER VENOSO CENTRAL DE IMPLANTE PERIFERICO 2FR                                         ;0;0;0;369,89
6099;UM        ;HASTE SIM FLEXIVEL INFANTIL INTRAMEDULAR 3,0MM                                            ;0;0;0;711,45
6100;UM        ;(PREVENTIVO)COLETOR CITOLOGICO C/ ESTRIAS E TAMPA                                         ;0;0;0;0,44
6101;GL.       ;ACIDO PARACETICO 3,5%                                                                     ;0;0;0;86
6102;UM        ;PARAFUSO CORTICAL 4,5X54MM                                                                ;0;0;0;16,25
6103;UM        ;PARAFUSO CORTICAL 4,5X58MM                                                                ;0;0;0;16,25
6104;          ;PLACA ESTREITA 3F                                                                         ;0;0;0;212,29
6105;UM        ;PARAFUSO CORT. 4,5X42MM                                                                   ;0;0;0;16,2
6106;UM        ;PARAFUSO CANULADO 4,5X22MM                                                                ;0;0;0;84,39
6107;UM        ;PARAFUSO CANULADO 4,5X28MM                                                                ;0;0;0;84,39
6108;UM        ;PARAFUSO CANULADO 4,5X30MM                                                                ;0;0;0;84,39
6109;UM        ;PLACA CERVICAL 62,5MM - SPINE                                                             ;2;4161,92;2080,96;2080,96
6110;          ;PLACA COBRA 8F                                                                            ;0;0;0;689,23
6111;          ;PLACA COBRA 9F                                                                            ;0;0;0;689,23
6112;UM        ;PARAFUSO ESPONJOSO 4,0 R16/R32MM                                                          ;0;0;0;20,09
6113;UM        ;BROCA C/ STOP E ENGATE 1,16X5,0X65MM                                                      ;0;0;0;354,99
6114;UM        ;BROCA C/ STOP E ENGATE 1,58X5,0X65MM                                                      ;0;0;0;354,99
6115;UM        ;PINCA ANGULADA P/ PLACA E PARAFUSO 1,5/2,0MM                                              ;0;0;0;318,15
6116;UM        ;PINCA P/ PLACA                                                                            ;0;0;0;475,23
6117;UM        ;PARAFUSO CANULADO 7,0 X 30MM                                                              ;0;0;0;58,1
6118;UM        ;PARAFUSO CANULADO 7,0 X 35MM                                                              ;0;0;0;63,2
6119;UM        ;PARAFUSO CANULADO 7,0 X 45MM                                                              ;0;0;0;58,1
6120;UM        ;PARAFUSO CANULADO 7,0 X 105MM                                                             ;0;0;0;58,1
6121;UM        ;PARAFUSO CANULADO 7,0 X 32 X 40MM                                                         ;0;0;0;58,1
6122;UM        ;PARAFUSO CANULADO 7,0 X 32 X 45MM                                                         ;0;0;0;58,1
6123;UM        ;PARAFUSO CANULADO 7,0 X 32 X 50MM                                                         ;0;0;0;58,1
6124;UM        ;PARAFUSO CANULADO 7,0 X 32 X 55MM                                                         ;0;0;0;58,1
6125;UM        ;PARAFUSO CANULADO 7,0 X 32 X 60MM                                                         ;0;0;0;58,1
6126;UM        ;PARAFUSO CANULADO 7,0 X 32 X 65MM                                                         ;0;0;0;58,1
6127;UM        ;PARAFUSO CANULADO 7,0 X 32 X 70MM                                                         ;0;0;0;58,1
6128;UM        ;PARAFUSO CANULADO 7,0 X 32 X 75MM                                                         ;0;0;0;58,1
6129;UM        ;PARAFUSO CANULADO 7,0 X 32 X 80MM                                                         ;0;0;0;58,1
6130;UM        ;PLACA DCP 4,5MM ESTREITA 18 FUROS (03.090-2)                                              ;5;700;140;140
6131;UM        ;PLACA DCP 4,5MM ESTREITA 20 FUROS (03.090-2)                                              ;6;840;140;140
6132;UM        ;PARAFUSO CANULADO 7,0 X 16 X 100MM                                                        ;0;0;0;58,1
6133;UM        ;PARAFUSO CANULADO 7,0 X 16 X 105MM                                                        ;0;0;0;58,1
6134;UM        ;PARAFUSO CANULADO 7,0 X 16 X 110MM                                                        ;0;0;0;58,1
6135;UM        ;PARAFUSO CANULADO 7,0 X 16 X 115MM                                                        ;0;0;0;58,1
6136;UM        ;PARAFUSO CANULADO 7,0 X 16 X 120MM                                                        ;0;0;0;58,1
6137;UM        ;PARAFUSO CANULADO 7,0 X 32 X 100MM                                                        ;0;0;0;58,1
6138;UM        ;PARAFUSO CANULADO 7,0 X 32 X 110MM                                                        ;0;0;0;58,1
6139;UM        ;PARAFUSO CANULADO 7,0 X 32 X 115MM                                                        ;0;0;0;58,1
6140;UM        ;PARAFUSO CANULADO 7,0 X 32 X 120MM                                                        ;0;0;0;58,1
6141;          ;PLACA EM L 10F                                                                            ;0;0;0;259,84
6142;UM        ;PLACA PONTE 4.5 MM ( INCLUI PARAFUSOS ) ( 03.106-2 )                                      ;0;0;0;507,72
6143;UM        ;AGULHA DE BIOPSIA 14G X 16CM - TECIDO MOLE COM PISTOLA/DISPARADOR EM COMODATO.            ;0;0;0;53,800125
6144;UM        ;AGULHA DE BIOPSIA 14G X 08CM - TECIDO MOLE COM PISTOLA/DISPARADOR EM COMODATO.            ;0;0;0;55,55
6145;UM        ;AGULHA DE BIOPSIA 18G X 10CM - HEPATICA COM PISTOLA/DISPARADOR EM COMODATO.               ;0;0;0;22,5
6146;UM        ;FIO OLIVADO PARA FIXADOR EXTERNO 1.5MM ( 03.032-5 )                                       ;531;11129,76;20,96;20,96
6147;UM        ;FIO OLIVADO PARA FIXADOR EXTERNO 1.8MM(03.032-5)                                          ;0;0;0;16,29
6148;UM        ;PLACA ESTREITA 10F                                                                        ;0;0;0;212,29
6149;UM        ;PLACA ESTREITA 18F                                                                        ;0;0;0;212,29
6150;UM        ;PLACA ESTREITA 8F                                                                         ;0;0;0;212,29
6151;UM        ;PLACA COMP. DIN LARGA 10F                                                                 ;0;0;0;266,52
6152;UM        ;PLACA COMP. DIN LARGA 8F                                                                  ;0;0;0;266,52
6153;UM        ;PLACA COMP. DIN LARGA 8F                                                                  ;0;0;0;266,52
6154;UM        ;PLACA COMP. DIN LARGA 7F                                                                  ;0;0;0;266,52
6155;UM        ;PLACA COMP. DIN LARGA 6F                                                                  ;0;0;0;266,52
6156;UM        ;(NEFRO)LINHA DE SANGUE VENOSA PEDIATRICA UNIVERSAL                                        ;485;13637,25;28,118041;28,35
6157;UM        ;(NEFRO)LINHA PEDIATRICA ARTERIAL 6MM                                                      ;270;9441,9;34,97;34,97
6158;UM        ;(NEFRO)DIALISADOR POLISULFONA 1.0 COD.DCP10AM                                             ;0;0;0;60
6159;UM        ;(NEFRO)FILTRO DIALISADOR AREA DE SUPERFICIE 1.3 A 1.4M2 - USO UNICO                       ;0;0;0;60
6160;UM        ;(NEFRO)DIALISADOR POLISULFONA 1.6 DCP16AM                                                 ;0;0;0;60
6161;          ;CATETER TENCKHOFF NEO NATO 31CM 2CUFFS   C1TP311                                          ;0;0;0;154
6162;          ;PLACA LARGA 4.5X10F                                                                       ;0;0;0;266,52
6163;          ;CATETER TENCKHOFF PEDIATRICO 32CM 2CUFFS-BIOM C1TP321.                                    ;0;0;0;154
6164;          ;CATETER TENCKHOFF ADULTO 41CM 2 CUFFS-BIOM C1TA411                                        ;0;0;0;154
6165;UM        ;(NEFRO)KIT CDL RETO 12,5-14,5FR X 30CM CATETER EM POLIURETANO CATETER DUPLO LUMEN         ;0;0;0;91,6667
6166;UM        ;KIT CATETER DUPLO LUMEN RETO  11,5FR X 15CM CDL(NEFRO)                                    ;0;0;0;86
6167;UM        ;(NEFRO)KIT CATETER DUPLO LUMEN PERITONIAL N.32 PEDIATRICO                                 ;0;0;0;92
6168;KIT       ;(NEFRO)KIT CATETER DUPLO LUMEN PERITONIAL N.31 NEO-CDL                                    ;0;0;0;92
6169;          ;PLACA EM T 4.5X4F                                                                         ;0;0;0;259,84
6170;          ;PLACA EM T 3.5X4X4MM                                                                      ;0;0;0;247,93
6171;          ;PLACA SEMITUBULAR 4.5X10F                                                                 ;0;0;0;146,64
6172;          ;PLACA EM L 4.5X6F                                                                         ;0;0;0;259,84
6173;UM        ;ESFIGMOMANOMETRO SEMI DIGITAL ADULTO C/ VISOR                                             ;1913;293725,4083;153,541771;153,45
6174;UM        ;TIRAS TESTE P/GLICEMIA SEM APARELHO (BREEZE).                                             ;0;0;0;1
6175;          ;DISPOSITIVO OROFARIGEO P/ MANUSEIO DAS VIAS AEREAS TAM 1- RN(MASCARA DE INTUBACAO AIR-Q)  ;0;0;0;44
6176;          ;DISPOSITIVO OROFARIGEO TUBULAR P/ MANUSEIO DAS VIAS AEREAS  TAM 1.5 P/ PACIENTE ENTRE 7 E ;0;0;0;44
6177;          ;DISPOSITO OROFARIGEO TUBULAR P/ MANUSEIO DAS VIAS AEREAS    TAM 2 P/ PACIENTE DE 17 A 30 K;0;0;0;44
6178;          ;DISPOSITIVO OROFARIGEO TUBULAR P/ DAS VIAS AEREAS TAM 2.5   RN P/ PACIENTE 30 A 50 KG (MAS;0;0;0;44
6179;PC.       ;FIXADOR PELVICO ( 03.043-0 )                                                              ;119;95200;800;800
6180;PC.       ;FIXADOR EXTERNO                                                                           ;0;0;0;329,96
6181;UM        ;EQUIPO MACROGOTAS SIMPLES                                                                 ;0;0;0;0,54
6182;UM        ;EQUIPO MICROGOTAS C/INJETOR LATERAL.                                                      ;425;463,25;1,09;1,09
6183;UM        ;EQUIPO POLIFIX COM CAMP                                                                   ;0;0;0;0,51
6184;UM        ;GEL CLINICO UNIVERSAL 1000ML OU 1KG                                                       ;0;0;0;5,46
6185;UPI.      ;CPAP NEONATAL NEWMED C/CANULA TAM 4 3 (KG)                                                ;0;0;0;87,66
6186;UM        ;SERINGA HIPODERMICA DESCARTAVEL 20 ML C/AGULHA 25X07                                      ;0;0;0;0,28
6187;UM        ;EQUIPO P/HEMOTRANSFUSAO/INFUSAO SANGUE,PLASTICO,FLEXIVEL,TRANSPARENTE,ATOXICO,C/PINCA ROLE;18790;73198,3;3,895598;3,78
6188;UM        ;AGULHA DESCARTAVEL ANESTESIA RAQUIDIANA                                                   ;0;0;0;2,35
6189;UM        ;PROTESE TOTAL DE QUADRIL NAO CIMENTADA CERAMICA/CERAMICA (EXTRA SUS)                      ;0;0;0;44000
6190;UM        ;HEMOSTATICO ABSORVIVEL DE CELULOSE OXIDADA REGENERADA 5X7,5CM                             ;0;0;0;81,01
6191;UM        ;HEMOSTATICO ABSORVIVEL DE CELULOSE PURA OXIDADA 2,5X5CM                                   ;0;0;0;89,34
6192;ENV.      ;FIO TIPO ROSQ 2,0X300MM                                                                   ;0;0;0;14,95
6193;          ;PARAFUSO ESPONJOSO 6,5X30MM                                                               ;0;0;0;24,94
6194;          ;PLACA LARGA 4,5X14F                                                                       ;0;0;0;266,52
6195;UM        ;(NEFRO)KIT CDL 13,5FR-14,5FR X 24CM-28CM TIPO PERMICATH LONGA PERMANECIA-CATETER DUPLO LUM;0;0;0;1099,99
6196;UM        ;(NEFRO)KIT CATETER DUPLO LUMEN PERITONIAL N.41 ADULTO                                     ;0;0;0;129,2
6197;UM        ;(NEFRO)HIPOCLORITO DE SODIO 10% A 12% 2 LITROS                                            ;0;0;0;15
6198;UM        ;(NEFRO)PROTETOR DE CONE LUER                                                              ;0;0;0;0,2
6199;PAR       ;LUVAS NITRILICA S/ FORRO TAM. M                                                           ;0;0;0;5,06
6200;PAR       ;LUVAS NITRILICA S/ FORRO TAM. G                                                           ;1852;9260;5;5
6201;PAR       ;LUVAS NITRILICA S/ FORRO TAM. EG                                                          ;0;0;0;18,17
6202;UM        ;FIXADOR P/ MAMOGRAFIA 5L                                                                  ;0;0;0;145
6203;UM        ;HIPOCLORITO DE SODIO A 1% 1 LT                                                            ;0;0;0;2,5
6204;UM        ;PASTA APLICACAO P/ ELETRO                                                                 ;0;0;0;30
6205;UM        ;FIO GUIA P/ ANGIOPLASTIA PERIFERICA 014X300CM P.ANGULADA E FEXIVEL 3CM                    ;0;0;0;600
6206;UM        ;(HEMO)CATETER BALAO PERIFERICO C/SIST. OTW,PASSEO-18 4/200/130,BAIXO PERFIL DE CRUZAMENTO ;0;0;0;300
6207;RL.       ;ATADURA GESSADA (20CM X 3M A 4M)                                                          ;2260;9040;4;4
6208;RL.       ;FITA ADESIVA PAPEL 19X50 BEGE                                                             ;0;0;0;2,09
6209;RL.       ;FITA ADESIVA PAPEL CREPADO AUTOCLAVE 19MMX50MM                                            ;0;0;0;2,09
6210;UM        ;HASTE INTRAMEDULAR RETR 3,0MM                                                             ;0;0;0;711,45
6211;UM        ;EQUIPO PARA BOMBA DE INFUSAO SANTRONIC C/ FILTRO E TUBO(LARANJA).                         ;0;0;0;14,45
6212;CX.       ;FILME RADIOLOGICO 30 X 40 CAIXA COM 100                                                   ;0;0;0;1,74
6213;CX.       ;FILME RADIOLOGICO 35 X 35 CAIXA COM 100                                                   ;0;0;0;173
6214;UM        ;DISPARADOR AUTOMATICO                                                                     ;2;9000;4500;4500
6215;UM        ;"SONDA ESOFAGICA N.16 ""SENGSTAKEN-BLACKMORE""                                               ";276;130582,28;473,124202;469,91
6216;UM        ;"SONDA ESOFAGICA N.20 ""SENGSTAKEN-BLACKMORE""                                               ";0;0;0;371,09
6217;UM        ;"SONDA ESOFAGICA N.18 ""SENGSTAKEN-BLACKMORE""                                               ";259;119696,26;462,147722;460,51
6218;UM        ;SONDA P/ASPIRACAO TRAQUEAL C/ VALVULA N.06                                                ;0;0;0;0,94
6219;UM        ;PLACA DE RECONSTRUCAO BLOQUEADA 3,5 9X9 FUROS (EXTRA SUS)                                 ;0;0;0;1900
6220;UM        ;FIO STEINMANN 3,5X230MM(03.033-3)                                                         ;0;0;0;10,8
6221;PCT.      ;DIANEL PD2 SL DP CAPD ULTRAB2L DEXT 1,5 B PL FLEX 2L                                      ;0;0;0;18,37
6222;PCT.      ;DIANEL PD2 SL DP CAPD ULTRAB2L DEXT 4,25B PL FLEX 2L                                      ;0;0;0;18,37
6224;UM        ;AGULHA DESCARTAVEL (30 X 0.8)                                                             ;0;0;0;2
6225;UM        ;AGULHA DE HUBBER 18G X 70MM                                                               ;0;0;0;22,6692
6226;UM        ;HASTE INTRAMEDULAR RETR 2,0MM                                                             ;0;0;0;711,45
6227;UM        ;PLACA SEMITUBULAR 4.5X11F                                                                 ;0;0;0;125,13
6228;UM        ;(ESPEC)SELANTE DE FIBRINA HUMANA ( COLA BIOLOGICA )                                       ;8;45306,64;5663,33;5663,33
6229;UM        ;(NEURO)APLICADOR PARA SELANTE EVICEL 1 E 2 ML-COLA BIOLOGICA                              ;0;0;0;863,23
6230;UM        ;HASTE INTR. RETR.2,5MM                                                                    ;0;0;0;711,45
6231;UM        ;HASTE INTR.RETR 3,5MM                                                                     ;0;0;0;711,45
6232;UM        ;HASTE INTR.RETR.4,0MM                                                                     ;0;0;0;711,45
6233;UM        ;TUBO PARA GASTROSTOMIA 14-1.5(MIC-KEY)                                                    ;0;0;0;636,82
6234;UM        ;TUBO PARA GASTROSTOMIA 14-2.0(MIC-KEY).                                                   ;19;12452;655,368421;617
6235;UM        ;TUBO PARA GASTROSTOMIA 16-1.5(MIC-KEY)                                                    ;0;0;0;636,8
6236;UM        ;TUBO PARA GASTROSTOMIA 16-2.0(MIC-KEY)                                                    ;15;8820;588;588
6237;UM        ;TUBO PARA GASTROSTOMIA 18-1.5(MIC-KEY)                                                    ;9;5652;628;628
6238;UM        ;TUBO PARA GASTROSTOMIA 18-2.0(MIC-KEY)                                                    ;0;0;0;612
6239;KIT       ;SONDA PARA GASTROSTOMIA 18-3.5(MIC-KEY)                                                   ;0;0;0;745,08
6240;UM        ;PLACA DE RECONSTRUCAO BLOQUEADA 3,5 10X10 FUROS (EXTRA SUS)                               ;0;0;0;1900
6241;UMA       ;PULSEIRA P/ INDENTIFICACAO DE RECEM NASCIDO - COR BRANCA                                  ;0;0;0;0,37
6242;UMA       ;PULSEIRA P/ INDENTIFICACAO DE RECEM NASCIDO - COR AZUL                                    ;300;75;0,25;0,25
6243;UMA       ;PULSEIRA P/ INDENTIFICACAO DE RECEM NASCIDO - COR ROSA                                    ;500;305;0,61;0,61
6244;UM        ;INTEGRADOR QUIMICO VAPOR CLASSE 6 - TIPO EMULADOR                                         ;29150;7287,5;0,25;0,25
6249;          ;MEDIDOR P/ PARAFUSO PEQUENO FRAGMENTOS.                                                   ;0;0;0;247,84
6250;UM        ;AGULHA P/BIOPSIA TECIDO MOLE UP                                                           ;0;0;0;27,45
6251;UM        ;AGULHA DE BIOPSIA 15G X 06CM PARA ASPIRACAO INTRAOSSEA                                    ;15;742,8;49,52;49,52
6252;UM        ;AGULHA DE BIOPSIA DE HEPATICA 16GX10CM C/FRAGMENTO P/PISTOLAPROMAG                        ;0;0;0;37,71
6253;UMA       ;SONDA GASTRICA (NASOGASTRICA) N.18 CURTA.                                                 ;0;0;0;0,71
6254;UM        ;AGULHA DESC.P/ANESTESIA RAQUIDIANA 25G X 3 1/2                                            ;2250;7482;3,325333;3,51
6255;UM        ;AGULHA DESC. P/ANESTESIA RAQUIDIANA 22G                                                   ;0;0;0;4,61
6256;UM        ;AGULHA DESC. P/ANESTESIA RAQUIDIANA 18G.                                                  ;0;0;0;2,58
6257;UMA       ;REVELADOR AUTOMATICO G1 138 GALAO COM 5L                                                  ;0;0;0;207,6
6258;UMA       ;KIT INTRODUTOR FEMURAL 5FR                                                                ;0;0;0;159
6259;UMA       ;(ESPEC)CATETER BALAO PERIFERICO COM SISTEMA OTW,PASSEO-14 2/220/150 BAIXO PERFIL DE  CRUZA;0;0;0;300
6260;UMA       ;KIT INTRODUTOR FEMURAL 7FR                                                                ;0;0;0;159
6261;UMA       ;CATETER BALAO P/ANGIOPLASTIA PERIFERICA 8MMX6CMX120CM                                     ;0;0;0;996
6262;UMA       ;CATETER HOOK 5FR P/ARTERIOGRAFIA                                                          ;0;0;0;202,68
6263;UMA       ;CATETER CENTRAL DE INSERCAO PERIFERICA (PICC) 2F 23G 30CM                                 ;0;0;0;247,04
6264;UMA       ;FIXADOR ESTERIL P/CATETER PERIFERICO                                                      ;0;0;0;40,03
6265;UM        ;(COLOS)BARREIRA DE RESINA SINTETICA PROTETORA EM PASTA(79300) TIPO CIMENTINHO HOLISTER DE5;212;7184,68;33,89;33,89
6266;UM        ;BOMBA DE INFUSAO SANTRONIC.                                                               ;0;0;0;630
6267;UM        ;COLETOR SECRECOES DE VIAS AEREAS(BRONQUINHO) 70ML.                                        ;0;0;0;21,11
6268;PAR       ;MASCARA DESCARTAVEL P/POEIRA MOLDADO EM MANTA SINTETICA.                                  ;0;0;0;0,94
6269;RL.       ;PAPEL TERMOREATIVO ELETROCARDIOGRAFICO DIGITAL 80MMX30MM (BOBINA PARA ECG)                ;0;0;0;9,43
6270;UM        ;AGULHA DE BIOPSIA 12G X 10CM - DE MAMA COM PISTOLA/DISPARADOR EM COMODATO.                ;0;0;0;23
6271;UM        ;AGULHA DE BIOPSIA 16G X 16CM - TECIDO MOLE COM PISTOLA/DISPARADOR EM COMODATO.            ;159;7536,6;47,4;47,4
6272;UM        ;AGULHA DE BIOPSIA 14G X 10CM                                                              ;0;0;0;63,99
6273;UM        ;FRALDA DESCARTAVEL GERIATRICA PEQUENO                                                     ;8965;10758;1,2;1,2
6274;UM        ;COBAS C111 GAMA HICO 200T (COD 5401461190)                                                ;0;0;0;340
6275;UM        ;COBAS C111 GLICOSE 400T (COD 4657527190)                                                  ;0;0;0;400
6276;UM        ;COBAS C111 HDL COLESTEROL PLUS 200T (COD 5401488190)                                      ;0;0;0;660
6277;UM        ;COBAS C111 LDH 100T (COD 5401674190)                                                      ;0;0;0;182
6278;UM        ;COBAS C111 LIPASE 100T (COD 5401704190)                                                   ;0;0;0;183
6279;UM        ;COBAS C111 MAGNESIO 100T (COD 5401712190)                                                 ;0;0;0;142
6280;UM        ;COBAS C111 AST IFCC 400T(COD 4657543190)                                                  ;0;0;0;480
6281;UM        ;COBAS C111 ALT IFCC 400T (COD 4718569190)                                                 ;0;0;0;520
6282;UM        ;COBAS C111 TRIGLICERIDEOS 200T (COD 4657594190)                                           ;0;0;0;320
6283;UM        ;COBAS C111 UREIA BUN 400T (COD 4657616190)                                                ;0;0;0;460
6284;UM        ;COBAS C111 PROTEINA  TOTAL 400T (COD 4657586190)                                          ;0;0;0;480
6285;UM        ;COBAS C111 LDL COLESTEROL 100T (COD 5401682190)                                           ;0;0;0;430
6286;UM        ;COBAS C111 ACIDO URICO 400T (COD 4657608190)                                              ;0;0;0;536
6287;UM        ;COBAS C111 ALBUMINA 400T (COD 4657357190)                                                 ;0;0;0;540
6288;UM        ;COBAS C111 AMILASE 200T (COD 5401496190)                                                  ;0;0;0;658
6289;UM        ;COBAS C111 BILIRRUBINA TOTAL 400T (COD 4774256190)                                        ;0;0;0;528
6290;UM        ;COBAS C111 BILIRRUBINA DIRETA GEN.2 100T (COD 5589134190)                                 ;0;0;0;132
6291;UM        ;COBAS C111 CALCIO 400T (COD 4718933190)                                                   ;0;0;0;684
6292;UM        ;COBAS C111 CALCIO GEN.2 400T (COD 5061504190)                                             ;0;0;0;684
6293;UM        ;COBAS C111 CKMB 100T (COD 5401763190)                                                     ;0;0;0;304
6294;UM        ;COBAS C111 COLESTEROL 400T (COD 4718917190)                                               ;0;0;0;496
6295;UM        ;COBAS C111 CK 200T (COD 5401593190)                                                       ;0;0;0;470
6296;UM        ;COBAS C111 CREATININA JAFFE 400T (COD 5401755190)                                         ;0;0;0;420
6297;UM        ;COBAS C111 FERRO GEN.2 100T (COD 5401658190)                                              ;0;0;0;150
6298;UM        ;COBAS C111 ALP IFCC HICO 200T (COD 4657373190)                                            ;1;612;612;612
6299;UM        ;COBAS C111 FOSFORO 100T (COD 5401780190)                                                  ;0;0;0;139
6300;UM        ;AVENTAL CIRURGICO DE USO UNICO COR AZUL.                                                  ;0;0;0;12,01
6301;UM        ;FIO STEINMANN ROSQUEADO ( 03.033-3 )                                                      ;0;0;0;15,82
6302;UM        ;FIO STEINMANN 4,0MMX300(03.033-3)                                                         ;0;0;0;11,34
6303;UM        ;HASTE IN BL UME                                                                           ;0;0;0;718,08
6304;UM        ;PLACA REC 4,5X10F                                                                         ;0;0;0;227,7
6305;UM        ;PLACA REC 4,5X12F                                                                         ;0;0;0;227,7
6306;UM        ;PLACA EM T 4F                                                                             ;0;0;0;201,96
6307;UM        ;PLACA EM T 5F                                                                             ;0;0;0;201,96
6308;UM        ;PLACA ANGULADA INFANTIL 3,5X40 90∞ (ADOLECENTE)                                           ;0;0;0;779,16
6309;UM        ;PLACA EM T 8F                                                                             ;0;0;0;201,96
6310;UM        ;FILME RADIOLOGICO PARA MAMOGRAFIA 35 X 35 CX C/ 100FLS                                    ;0;0;0;245,7
6311;UM        ;FILME RADIOLOGICO 35,6X43,2 CAIXA COM 100                                                 ;0;0;0;265,66
6312;UM        ;FIXADOR P/ CATETER INTRAVENOSO                                                            ;0;0;0;70,29
6313;UM        ;LAMINA DE BISTURI N.11 COM CABO DE SEGURANCA.                                             ;0;0;0;2,21
6314;UM        ;LAMINA DE BISTURI N.22 COM CABO DE SEGURANCA.                                             ;17685;36961,65;2,09;2,09
6315;UM        ;LAMINA DE BISTURI N.24 COM CABO DE SEGURANCA.                                             ;17860;32505,2;1,82;1,82
6316;UM        ;CAMPO CIRURGICO 1.50M X 1.80M (AZUL)                                                      ;0;0;0;8,98
6317;UM        ;CAMPO CIRURGICO 1.30M X 1.60M.                                                            ;0;0;0;7,49
6318;UM        ;ARRUELA LISA 12MM                                                                         ;0;0;0;6,54
6319;UM        ;FIO STEINMANN 2,5MMX300(03.033-3)                                                         ;0;0;0;10,8
6320;UM        ;FIO STEINMANN 4,0MMX230(03.033-3)                                                         ;0;0;0;10,8
6322;UM        ;HASTE ENDER ( 03.046-5 )                                                                  ;0;0;0;54
6323;UM        ;MINI PLACA RETA 4FUROS (05.048-2)                                                         ;0;0;0;343,72
6324;UM        ;PARAFUSO ESP 4,0X14MM                                                                     ;0;0;0;20,09
6325;UM        ;PARAFUSO ESP 4,0MM X 18MM                                                                 ;0;0;0;20,09
6326;UM        ;PARAFUSO ESP 4,0MM X 24MM                                                                 ;0;0;0;20,09
6327;UM        ;PARAFUSO ESP 4,0MM X 30MM                                                                 ;0;0;0;20,09
6328;UM        ;PARAFUSO ESP 4,0MM X 45MM                                                                 ;0;0;0;20,09
6329;UM        ;PARAFUSO ESP 4,0MM X 50MM                                                                 ;0;0;0;20,09
6330;UM        ;PARAFUSO ESP 6,5MM X 35MM                                                                 ;0;0;0;19,44
6331;UM        ;PARAFUSO ESP 6,5MM X 55MM                                                                 ;0;0;0;19,44
6332;UM        ;(MINI FRAGMENTOS 2,5/2,7) PLACA T TUBULAR 5FUROS                                          ;0;0;0;87,89
6333;UM        ;PLACA 1/3 TUBULAR 4,5X10F                                                                 ;0;0;0;126,68
6334;UM        ;PLACA SEMITUBULAR 2,7MM (INCLUI PARAFUSOS) ( 03.107-0 )                                   ;0;0;0;138,57
6335;UM        ;PLACA SEMITUBULAR 3,5X7F                                                                  ;0;0;0;113,9
6336;UM        ;PLACA SEMITUBULAR 4.5X12F                                                                 ;0;0;0;125,31
6337;UM        ;CATETER DUPLO LUMEN 24G FR2 RADIOPACO 30CM                                                ;0;0;0;232,3
6338;UM        ;PLACA PONTE 3.5 MM C/ PARAFUSOS ( 03.105-4 )                                              ;0;0;0;474,48
6339;UM        ;FIO ROSQ 2,0X300MM                                                                        ;0;0;0;14,95
6340;UM        ;CINTA LISO TLSO TIPO PUTTI                                                                ;0;0;0;143,64
6341;UM        ;PARAFUSO MALEOLAR 4,5X30MM                                                                ;0;0;0;15,3
6342;UM        ;PARAFUSO MALEOLAR 4,5X60MM                                                                ;0;0;0;15,3
6343;UM        ;PARAFUSO ESPONJOSO R32 6,5X75MM                                                           ;0;0;0;19,44
6344;UM        ;PARAFUSO ESPONJOSO R32 6,5X100MM                                                          ;0;0;0;19,44
6345;UM        ;PLACA SEMITUBULAR 4,5MM 03 FUROS                                                          ;0;0;0;125,31
6346;UM        ;PLACA SEMITUBULAR 4,5MM 04 FUROS                                                          ;0;0;0;125,31
